id;parcel_id;webshop_id;date_create
133;4857672;2018;2022-01-02
134;4857676;2018;2022-01-02
135;4857699;2018;2022-01-02
136;4857713;2018;2022-01-02
137;4857758;2018;2022-01-02
138;4857760;2018;2022-01-02
139;4857991;2018;2022-01-02
140;4857999;2018;2022-01-02
141;4858008;2018;2022-01-02
142;4858011;2018;2022-01-02
143;4858028;2018;2022-01-02
144;4858050;2018;2022-01-02
156;5062169;2091;2022-03-23
157;5064754;2091;2022-03-24
158;5064755;2091;2022-03-24
159;5064756;2091;2022-03-24
160;5064757;2091;2022-03-24
161;5066718;2091;2022-03-24
162;5066719;2091;2022-03-24
163;5067820;2091;2022-03-25
164;5069782;2091;2022-03-26
165;5069783;2091;2022-03-26
166;5069784;2091;2022-03-26
167;5069785;2091;2022-03-26
168;5069786;2091;2022-03-26
169;5071446;2091;2022-03-26
170;5071909;2091;2022-03-27
171;5073256;2091;2022-03-27
172;5073257;2091;2022-03-27
173;5075277;2091;2022-03-28
174;5075757;2091;2022-03-29
175;5075768;2091;2022-03-29
187;4857868;2008;2022-01-02
188;4857937;2008;2022-01-02
189;4857960;2008;2022-01-02
190;4857962;2008;2022-01-02
191;4859429;2008;2022-01-03
192;4859453;2008;2022-01-03
193;4860528;2008;2022-01-03
194;4860592;2008;2022-01-03
195;4865161;2008;2022-01-05
196;4865206;2008;2022-01-05
197;4868567;2008;2022-01-06
198;4869148;2008;2022-01-06
199;4870822;2008;2022-01-07
200;4870839;2008;2022-01-07
201;4870900;2008;2022-01-07
202;4871216;2008;2022-01-07
203;4871253;2008;2022-01-07
204;4871521;2008;2022-01-07
205;4871532;2008;2022-01-07
206;4877166;2008;2022-01-09
218;4857490;2018;2022-01-02
219;4858536;2018;2022-01-03
220;4858549;2018;2022-01-03
221;4859273;2018;2022-01-03
222;4860178;2018;2022-01-03
223;4862375;2018;2022-01-04
224;4863252;2018;2022-01-04
225;4865255;2018;2022-01-05
226;4865715;2018;2022-01-05
227;4870718;2018;2022-01-07
228;4871685;2018;2022-01-07
229;4877424;2018;2022-01-09
230;4877861;2018;2022-01-09
231;4879765;2018;2022-01-10
232;4881287;2018;2022-01-10
233;4883297;2018;2022-01-11
234;4886580;2018;2022-01-12
235;4889117;2018;2022-01-13
236;4889119;2018;2022-01-13
237;4891149;2018;2022-01-14
249;5120114;2091;2022-04-15
250;5120117;2091;2022-04-15
251;5120118;2091;2022-04-15
252;5120119;2091;2022-04-15
253;5120120;2091;2022-04-15
254;5120121;2091;2022-04-15
255;5120125;2091;2022-04-15
256;5120130;2091;2022-04-15
257;5120131;2091;2022-04-15
258;5120132;2091;2022-04-15
259;5120133;2091;2022-04-15
260;5120134;2091;2022-04-15
261;5120148;2091;2022-04-15
262;5120149;2091;2022-04-15
263;5120150;2091;2022-04-15
264;5120153;2091;2022-04-15
265;5120154;2091;2022-04-15
266;5120155;2091;2022-04-15
267;5120156;2091;2022-04-15
268;5120157;2091;2022-04-15
280;5275474;2091;2022-05-27
281;5275476;2091;2022-05-27
282;5275480;2091;2022-05-27
283;5277859;2091;2022-05-28
284;5277860;2091;2022-05-28
285;5277861;2091;2022-05-28
286;5277862;2091;2022-05-28
287;5277863;2091;2022-05-28
288;5277864;2091;2022-05-28
289;5277865;2091;2022-05-28
290;5277866;2091;2022-05-28
291;5277867;2091;2022-05-28
292;5277868;2091;2022-05-28
293;5278414;2091;2022-05-28
294;5278456;2091;2022-05-28
295;5278604;2091;2022-05-28
296;5278702;2091;2022-05-28
297;5279010;2091;2022-05-28
298;5279013;2091;2022-05-28
299;5279039;2091;2022-05-28
311;5207818;2004;2022-05-13
312;5306389;2018;2022-06-04
313;5385697;2018;2022-06-20
314;5433485;2018;2022-06-28
315;5121735;2091;2022-04-16
316;5130564;2091;2022-04-20
317;5132919;2091;2022-04-20
318;5132920;2091;2022-04-20
319;5164466;2091;2022-04-29
320;5164467;2091;2022-04-29
321;5203050;2091;2022-05-12
322;5239852;2091;2022-05-21
323;5245465;2091;2022-05-22
324;5247961;2091;2022-05-22
325;5248055;2091;2022-05-22
326;5263992;2091;2022-05-25
327;5278002;2091;2022-05-28
328;5279668;2091;2022-05-28
329;5284292;2091;2022-05-29
330;5284532;2091;2022-05-29
331;5284543;2091;2022-05-29
332;5285263;2091;2022-05-30
333;5285350;2091;2022-05-30
334;5285926;2091;2022-05-30
